"Qty";"Value";"Device";"Package";"Parts";"Description";"C";"MF";"MOUNT";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"STOREFRONT_ID";
"1";"";"CPOL-USSANYO_9F";"SANYO-OSCON_9F";"C1";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";
"2";"";"DIODESMA-ALT";"SMA-DIODE_ALT";"D1, D2";"Diode";"";"";"";"";"2101190";"";"";"";
"2";"100K";"RESISTOR0603-RES";"0603-RES";"R10, R22";"Resistor";"1";"";"";"";"";"";"";"";
"1";"10K";"RESISTOR0603-RES";"0603-RES";"R11";"Resistor";"1";"";"";"";"";"";"";"";
"2";"24/12";"JUMPER-2PTH_LOCK";"1X02_LOCK";"JP1, JP2";"Jumper";"";"";"";"";"";"";"";"";
"2";"390";"R-US_R2512";"R2512";"R1, R3";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"1";"4052";"4052";"F4052";"K1";"RELAY";"";"";"";"";"1169304";"unknown";"";"";
"2";"8A";"PTCPTH";"PTC";"F1, F2";"Resettable Fuse PTC";"";"";"NO";"";"1861144";"";"";"";
"1";"BSS138";"MOSFET-NCHANNELBSS138";"SOT23-3";"Q5";"Common NMOSFET Parts";"1";"";"";"";"";"";"TRANS-00830";"";
"1";"CHARGEUR";"M05X2";"2X5_LOCK";"JP3";"";"1";"";"";"";"";"";"";"";
"1";"G5L";"G5L";"G5LE";"K3";"RELAY";"";"";"";"";"1455504";"unknown";"";"";
"1";"G5L";"G5L";"G5LE";"K2";"RELAY";"";"";"";"";"unknown";"unknown";"";"";
"3";"M023.5MM";"M023.5MM";"SCREWTERMINAL-3.5MM-2";"LOAD4, TOM1, TOM2";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";"";"";"";
"11";"M025MM";"M025MM";"SCREWTERMINAL-5MM-2";"BAT1, BAT2, DIR1, DIR2, EXT-RELAY, LOAD1, LOAD2, LOAD3, SUP1, SUP2, SUP3";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";"";"";"PRT-08432";
"3";"M02HOLE";"M02HOLE";"2X1_HOLE_BIG";"BAT1H, BAT2H, PLUG_3.81_2_3";"";"";"";"";"";"";"";"";"";
"1";"M02PLUG";"M02PLUG";"PLUG_02";"INTER";"";"";"";"";"";"";"";"";"";
"1";"ON";"JUMPER-2PTH_LOCK";"1X02_LOCK";"JP6";"Jumper";"";"";"";"";"";"";"";"";
"1";"ONLY BATT";"SOLDERJUMPERNO";"SJ_2S-NO";"SJ1";"Solder Jumper";"";"";"";"";"";"";"";"";
