"Qty";"Value";"Device";"Package";"Parts";"Description";"C";"OC_FARNELL";"P";"PROD_ID";"VALUE";"VMIN";
"1";"";"ARDUINO_SERIAL_PROGRAMLOCK";"1X06_LOCK";"PROG1";"";"";"";"";"";"";"";
"3";"";"LED1206";"LED-1206";"LEDG, LEDR, LEDY";"LEDs";"1";"";"";"";"";"";
"3";"";"TAC_SWITCHPTH";"TACTILE-PTH";"S1, S2, S3";"Momentary Switch";"";"";"";"";"";"";
"3";"0.1u";"CAP0603-CAP";"0603-CAP";"C2, C3, C5";"Capacitor";"1";"";"";"";"";"";
"3";"0.1u";"CAP0603-CAP";"0603-CAP";"C4, C9, C10";"Capacitor";"1";"";"";"";"";"35V";
"3";"0.1uF";"C-EUC0603";"C0603";"C13, C16, C26";"CAPACITOR, European symbol";"";"";"";"";"";"";
"1";"100";"RESISTOR0603-RES";"0603-RES";"R42";"Resistor";"";"";"";"";"";"";
"3";"100K";"RESISTOR0603-RES";"0603-RES";"R1, R9, R22";"Resistor";"1";"";"";"";"";"";
"1";"100K";"RESISTOR0603-RES";"0603-RES";"R28";"Resistor";"";"";"";"";"";"";
"2";"100K1%";"RESISTOR0603-RES";"0603-RES";"R2, R3";"Resistor";"1";"";"";"";"";"";
"5";"10K";"RESISTOR0603-RES";"0603-RES";"R4, R5, R10, R11, R12";"Resistor";"1";"";"";"";"";"";
"5";"10K";"RESISTOR0603-RES";"0603-RES";"R13, R14, R20, R21, R27";"Resistor";"";"";"";"";"";"";
"2";"10n";"C-EUC0603";"C0603";"C14, C15";"CAPACITOR, European symbol";"";"";"";"";"";"";
"2";"10v";"DIODE-ZENERSOD-123";"SOD-123";"D2, D4";"Zener Diode";"1";"";"";"";"";"";
"1";"16MHZ";"RESONATOR16MHZ";"RESONATOR-SMD";"16MHZ";"Resonator";"";"";"";"XTAL-08900";"16MHZ";"";
"3";"1K";"RESISTOR0603-RES";"0603-RES";"R6, R7, R8";"Resistor";"1";"";"";"";"";"";
"3";"1K";"RESISTOR0603-RES";"0603-RES";"R25, R32, R41";"Resistor";"";"";"";"";"";"";
"1";"1N4148W ";"DIODESOD123";"SOD-123";"D3";"Diode";"1";"";"";"";"";"";
"1";"1n";"CAP0603-CAP";"0603-CAP";"C6";"Capacitor";"1";"";"";"";"";"";
"1";"1u";"CAP0603-CAP";"0603-CAP";"C1";"Capacitor";"1";"";"";"";"";"";
"5";"1uF";"C-EUC0603";"C0603";"C17, C18, C19, C20, C22";"CAPACITOR, European symbol";"";"";"";"";"";"";
"1";"2.2n";"CAP0603-CAP";"0603-CAP";"C11";"Capacitor";"1";"";"";"";"";"";
"1";"22u";"CAP_POL1206";"EIA3216";"C21";"Capacitor Polarized";"";"";"";"";"";"";
"1";"22u";"CAP_POLC";"PANASONIC_C";"C8";"Capacitor Polarized";"1";"";"";"";"";"35V";
"1";"22u";"L_BOURNS";"SRN1060";"L1";"";"1";"";"";"";"";"";
"1";"270";"RESISTOR0603-RES";"0603-RES";"RCOD";"Resistor";"";"";"";"";"";"";
"5";"33K";"RESISTOR0603-RES";"0603-RES";"R16, R18, R23, R26, R29";"Resistor";"";"";"";"";"";"";
"1";"4.7n";"CAP0603-CAP";"0603-CAP";"C12";"Capacitor";"1";"";"";"";"";"";
"1";"45V10A";"DIODE_SCHOTKY";"DPAK";"D5";"";"1";"";"";"";"";"";
"1";"5";"RESISTOR0805-RES";"0805";"R31";"Resistor";"";"";"250mw";"";"";"";
"1";"5.1K";"RESISTOR0603-RES";"0603-RES";"R34";"Resistor";"";"";"";"";"";"";
"5";"56K";"RESISTOR0603-RES";"0603-RES";"R15, R17, R19, R24, R30";"Resistor";"";"";"";"";"";"";
"1";"74HCT595D";"74HCT595D";"SO16";"U2";"8-bit SHIFT REGISTER, output latch";"";"";"";"";"";"";
"1";"ATMEGA328";"ATMEGA168";"TQFP32-08";"AT328";"";"";"";"";"";"";"";
"1";"AVR_SPI_PRG_62X3_LOCK";"AVR_SPI_PRG_62X3_LOCK";"2X3_LOCK";"ISP";"AVR ISP 6 Pin";"";"";"";"";"";"";
"1";"B330";"DIODE-SCHOTTKY-MBRA140";"SMA-DIODE";"D1";"Schottky diodes in SFE's production catalog";"1";"";"";"DIO-08053";"MBRA140";"";
"1";"BATT";"DNC_IN2PWR";"DNC_IN2_PWR";"1";"";"1";"";"";"";"";"";
"1";"BATT";"M05X2RA";"2X5-RA";"JP2";"Header 5x2";"1";"";"";"";"";"";
"1";"BOITIERBOITIER_FARNELLE_479-0020-0";"BOITIERBOITIER_FARNELLE_479-0020-0";"BOX_SIZE";"U$5";"";"";"";"";"";"";"";
"1";"BSS138";"MOSFET-NCHANNELBSS138";"SOT23-3";"Q5";"Common NMOSFET Parts";"1";"";"";"TRANS-00830";"";"";
"1";"BSS138";"MOSFET-NCHANNELBSS138";"SOT23-3";"Q3";"Common NMOSFET Parts";"";"";"";"TRANS-00830";"";"";
"1";"CHARGEUR";"M05X2";"2X5_LOCK";"JP1";"";"1";"";"";"";"";"";
"5";"FIDUCIAL1X2.5";"FIDUCIAL1X2.5";"FIDUCIAL-1X2.5";"JP3, JP4, JP13, JP14, JP19";"Fiducial Alignment Points";"";"";"";"";"";"";
"2";"IRF9321PBF";"IRF9321PBF";"SO-8";"Q1, Q2";"";"1";"1831075";"";"";"";"";
"1";"LCD-16X2NOHOLES";"LCD-16X2NOHOLES";"LCD-16X2_NOHOLES";"U1";"Standard text-only 16x2 parallel input LCD";"";"";"";"";"";"";
"2";"LG";"LED1206";"LED-1206";"L2, L3";"LEDs";"";"";"";"";"";"";
"2";"LOGOSIZE2";"LOGOSIZE2";"KXKMLOGO2";"U$2, U$6MOV";"";"";"";"";"";"";"";
"1";"LR-HIGH";"LED1206";"LED-1206";"L4";"LEDs";"";"";"";"";"";"";
"1";"MAX1758";"MAX1758";"SSOP28";"U$3";"";"1";"";"";"";"";"";
"1";"MOSFET-PCHANNEL";"MOSFET-PCHANNEL";"SOT23-3";"U$6";"Generic PMOSFET";"";"";"";"TRANS-08285";"";"";
